Time	Time Code	Country Name	Country Code	Total greenhouse gas emissions (kt of CO2 equivalent)	Renewable energy consumption (% of total final energy consumption)	CO2 emissions (kt)	Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent)	Agricultural methane emissions (thousand metric tons of CO2 equivalent) [EN.ATM.METH.AG.KT.CE]	Urban population (% of total population)
2016	YR2016	Malaysia	MYS	293679.992675781	4.43	235960.006713867	10120	4730	74.84
2016	YR2016	Maldives	MDV	2099.99990463257	1.21	1759.99999046326	0	0	38.954
2016	YR2016	Mali	MLI	39990.0016784668	76.16	4670.00007629395	13170	19830	40.783
2016	YR2016	Malta	MLT	1879.99999523163	9.22	1350.00002384186	30	60	94.48
2016	YR2016	Marshall Islands	MHL	219.999998807907	11.75	180.000007152557	..	..	76.228
2016	YR2016	Mauritania	MRT	13189.9995803833	31.66	3259.99999046326	3160	6430	51.962
2016	YR2016	Mauritius	MUS	6530.00020980835	10.33	4039.99996185303	130	20	40.91
2016	YR2016	Mexico	MEX	674000	9.22	473309.997558594	37170	58420	79.577
2016	YR2016	Micronesia, Fed. Sts.	FSM	250	1.57	170.000001788139	20	50	22.526
2016	YR2016	Moldova	MDA	12760.0002288818	25.3	8140.00034332275	880	730	42.511
2016	YR2016	Monaco	MCO	..	..	..	..	..	100
2016	YR2016	Mongolia	MNG	47860.0006103516	3.39	18170.0000762939	12520	15000	68.297
2016	YR2016	Montenegro	MNE	3400.00009536743	43.89	2150.00009536743	110	310	66.141
2016	YR2016	Morocco	MAR	80260.0021362305	11.06	60319.9996948242	6430	7320	61.36
2016	YR2016	Mozambique	MOZ	32150.0015258789	78.2	7280.00020980835	8150	8490	34.926
2016	YR2016	Myanmar	MMR	110089.996337891	69.25	21860.0006103516	19080	59830	30.082
2016	YR2016	Namibia	NAM	12300.0001907349	29.33	4130.00011444092	3100	4200	47.961
2016	YR2016	Nauru	NRU	70.0000002980232	0.18	59.9999986588955	0	0	100
2016	YR2016	Nepal	NPL	39779.9987792969	79.2	10409.9998474121	5670	19190	18.942
2016	YR2016	Netherlands	NLD	187339.996337891	5.59	158539.993286133	7180	13150	90.635
2016	YR2016	New Caledonia	NCL	..	3.7	..	..	..	69.821
2016	YR2016	New Zealand	NZL	80809.9975585938	31.83	31190.0005340576	14530	28080	86.4
2016	YR2016	Nicaragua	NIC	18420.0000762939	49.54	5380.00011444092	3170	7850	58.09
2016	YR2016	Niger	NER	37540.0009155273	80.25	2109.99989509583	10230	17530	16.29
2016	YR2016	Nigeria	NGA	289540.008544922	82.02	110830.001831055	29750	49430	48.683
2016	YR2016	North Macedonia	MKD	10359.9996566772	21.37	7300.00019073486	490	910	57.563
