Country Name,International migrant stock (% of population),"Life expectancy at birth, total (years)",GDP (constant 2015 US$),Urban population (% of total population),Access to electricity (% of population),Individuals using the Internet (% of population)
New Caledonia,0.9813854750328533,0.6722467553757969,-0.2341124145317771,0.48290157689660645,0.6386137893148215,0.9203077947549538
New Zealand,0.8820925716828615,1.1917234394463083,-0.12914872546342526,1.2084961652459214,0.6386137893148215,1.3099067564052953
Nicaragua,-0.6197385066516848,0.1377012125201403,-0.23162138538084262,-0.008357015993591626,0.02949447168683764,-0.9687587834451534
Niger,-0.6002672941242622,-1.3424872717291472,-0.23352620790912318,-1.7899608018426834,-2.394133357649815,-1.5681417628978647
North Macedonia,-0.2406866116449598,0.4386445555659978,-0.23329024823808095,-0.029189734100307698,0.6386137893148215,0.7943102185163156
Norway,0.2944939447083094,1.2972084847370389,-0.0003745502230227262,0.9839134751837881,0.6386137893148215,1.7138423677933814
Pakistan,-0.5349495547153412,-0.7685721737185409,-0.07181405335270244,-0.9438615586543144,-0.4020640890284735,-1.2715903665230457
Panama,-0.3476943837553655,0.6955705698191361,-0.20599816688438932,0.36812912786104357,0.3584217441336701,0.12719924180304878
Papua New Guinea,-0.6415345353546997,-0.8924602182826,-0.2260629388721824,-1.9283465165762075,-1.4385554830640026,-1.3794426721979496
Paraguay,-0.5055954759564003,0.1635734145977747,-0.21708202160241802,0.11377318974495887,0.6143058240667514,0.0753911576037348
Peru,-0.6448167741034885,0.46583039079321636,-0.12187070042561002,0.8241817104805491,0.4150552498458531,-0.23298654764039115
Philippines,-0.6501548551499521,-0.07562006903343382,-0.04956618926008915,-0.505048371100531,0.24152034275358616,-0.3705017481423985
Portugal,-0.11946233312945305,1.1503728162851792,-0.11592671874032728,0.23201062885576598,0.6386137893148215,0.7335183409802913
Puerto Rico,-0.16149751276944518,0.9725772718715014,-0.17544768522263007,1.5200458284311629,0.6386137893148215,0.5537693886530111
Romania,-0.5859841194663463,0.37766528003123767,-0.1292615786917132,-0.17980985823531184,0.6386137893148215,0.28576755088987293
Rwanda,-0.4081742968241286,-0.8182020228963112,-0.23423563687617543,-1.7575781168184863,-2.168677375317901,-1.0280529020958438
