Time	Time Code	Country Name	Country Code	International migrant stock (% of population)	Life expectancy at birth, total (years)	GDP (constant 2015 US$)	Urban population (% of total population)	Access to electricity (% of population)	Individuals using the Internet (% of population)
2015	YR2015	South Sudan	SSD	6.67856203968099	55.566	11997800760.2242	18.852	4.60133981704712	3
2015	YR2015	Spain	ESP	12.6902371918259	82.8317073170732	1196156971279.69	79.602	100	78.68963187
2015	YR2015	Sri Lanka	LKA	0.186850018416597	74.927	85140963536.633	18.256	94.3518676757813	12.1
2015	YR2015	St. Kitts and Nevis	KNA	13.3934355430792	..	957040740.740741	30.827	100	75.7
2015	YR2015	St. Lucia	LCA	6.90328055827329	73.138	1807227215.4535	18.515	97.0327377319336	41.7
2015	YR2015	St. Martin (French part)	MAF	..	79.309	..	..	100	..
2015	YR2015	St. Vincent and the Grenadines	VCT	4.18135974128008	74.407	786554592.592593	50.964	99.6432723999023	49.4
2015	YR2015	Sudan	SDN	1.2513445422805	64.659	84985132167.2171	33.894	46.9031066894531	..
2015	YR2015	Suriname	SUR	8.62581150145034	70.8	5126188134.7499	66.056	94.8952331542969	42.76382778
2015	YR2015	Sweden	SWE	16.7675587503806	82.2048780487805	505103781349.757	86.553	100	90.61019664
2015	YR2015	Switzerland	CHE	29.3866855419963	82.8975609756098	694118186379.628	73.718	100	87.4790556
2015	YR2015	Syrian Arab Republic	SYR	4.73013438841734	65.124	16468399180.3822	52.168	89.8164291381836	29.97979724
2015	YR2015	Tajikistan	TJK	3.24291089626031	69.306	8271454300.59548	26.742	98	18.98
2015	YR2015	Tanzania	TZA	0.488535530485828	64.651	47378603783.6471	31.617	26.1706371307373	10
2015	YR2015	Thailand	THA	5.75823265195895	77.717	401296437424.995	47.694	99.5999984741211	39.31612674
2015	YR2015	Timor-Leste	TLS	0.914442948601621	67.137	1594447630.7963	29.49	67.2815322875977	18.6
2015	YR2015	Togo	TGO	3.79000676014412	59.396	4180866177.03946	40.1	44.647590637207	7.12
2015	YR2015	Tonga	TON	5.39794668927192	70.607	437006227.162781	23.275	100	38.65127243
2015	YR2015	Trinidad and Tobago	TTO	3.66763032980219	74.503	26851970253.811	53.319	100	65.1
2015	YR2015	Tunisia	TUN	0.503849717164906	75.692	45780077487.7651	68.056	99.9000015258789	46.49999434
2015	YR2015	Turkiye	TUR	3.76900110251173	76.646	864316670330.882	73.611	100	53.74497914
2015	YR2015	Turkmenistan	TKM	3.65471158287463	68.782	35799714285.7143	50.317	100	14.99677482
2015	YR2015	Turks and Caicos Islands	TCA	34.0371006727045	76.912	942070000	92.195	100	..
2015	YR2015	Tuvalu	TUV	1.42194433239209	64.06	36811659.5297123	59.73	98.0148849487305	27.3
2015	YR2015	Uganda	UGA	1.92012616805897	61.086	32387183844.6699	22.06	18.5	5.7
2015	YR2015	Ukraine	UKR	10.7864611551484	71.189512195122	91030959454.6961	69.061	100	48.88464368
2015	YR2015	United Arab Emirates	ARE	88.4040483728066	79.223	370275469560.166	85.674	100	90.5
2015	YR2015	United Kingdom	GBR	13.200978246274	80.9560975609756	2934857946213.47	82.626	100	92.00029987
2015	YR2015	United States	USA	14.4906535240608	78.690243902439	18206020741000	81.671	100	74.55420245
2015	YR2015	Uruguay	URY	2.09231674852946	77.483	53274304222.136	95.045	99.7094802856445	64.5707871
2015	YR2015	Uzbekistan	UZB	3.91690323992971	70.475	86196265191.6645	50.75	100	42.8
2015	YR2015	Vanuatu	VUT	1.20422290404002	69.513	730870581.672312	24.961	52.2051010131836	22.35140458
2015	YR2015	Venezuela, RB	VEN	4.51473657184212	73.006	..	88.154	100	58
2015	YR2015	Vietnam	VNM	0.07789713082094	73.876	239258340825.533	33.809	99.8213043212891	45
2015	YR2015	Virgin Islands (U.S.)	VIR	53.3638784092727	79.0170731707317	3663000000	95.35	100	54.8391373
2015	YR2015	West Bank and Gaza	PSE	5.4730397522441	74.406	13972400000	75.368	99.9000015258789	56.7
2015	YR2015	Yemen, Rep.	YEM	1.28252922839207	65.873	42444495590.1077	34.777	67.3109283447266	24.08540947
2015	YR2015	Zambia	ZMB	0.789025650319302	61.208	21251216798.7762	41.907	31.1000003814697	8.8
2015	YR2015	Zimbabwe	ZWE	2.55638252510727	59.591	19963120610	32.385	33.7000007629395	22.7428181
									
									
									
Data from database: World Development Indicators									
Last Updated: 12/22/2022									
